,cv,c_umass,c_npmi,c_uci,sil_score,ch_index,db_index
2 Topics,0.36115851841230706,-3.1337442300470295,0.027711820068063872,0.16553547474713698,-0.08996231169382776,115.33187804323329,6.00448652824122
4 Topics,0.3543589453431503,-4.2165571075388755,0.03266201743339853,-0.2791297732044661,-0.09136399806430213,129.7410448952489,5.149862882763653
6 Topics,0.37511759494073643,-3.8921636174686856,0.02401517517491267,-0.2701727688423805,-0.08926428972219938,130.19128253033156,4.776509096660938
8 Topics,0.3863010049932811,-3.8441552866307234,0.02038126606420187,-0.36865402517189816,-0.08265909675059688,125.74952614349371,4.547825020901595
10 Topics,0.4045166968383139,-3.7189009353561673,0.027194161565959264,-0.32365152361575283,-0.08694660761376412,118.96262100472661,4.949679350245441
15 Topics,0.414750246718754,-3.6667187630531712,0.03052026953334679,-0.27561177926582076,-0.08455385459552983,110.2021885613671,4.610010380978618
20 Topics,0.42551051024574377,-3.6345990970608035,0.0361273339988448,-0.20491687487340982,-0.08963985912969669,100.76944409281086,4.699224597858545
25 Topics,0.42520863877977233,-3.556551536633851,0.028696274173096233,-0.3425386425810767,-0.0858285228101332,94.16720793927144,4.472287916933924
30 Topics,0.40800986336790845,-3.580919922709,0.024790368122183958,-0.46297221640391917,-0.08284305895943646,87.80250811542118,4.6651572048373975
35 Topics,0.40519101123702295,-3.6118008750087345,0.015461489218224189,-0.6283131556961293,-0.08197360665071232,82.17975256378442,4.599130594555624
40 Topics,0.39894915927756874,-3.6341830259550436,0.0067030243746804665,-0.7519891413106403,-0.07757391370687526,77.9230406649918,4.61151592424093
45 Topics,0.3983235403491663,-3.5809463794327856,0.007550137457891649,-0.6805668867334623,-0.07519938915793282,74.73485150345672,4.575389889888573
50 Topics,0.3911030677781278,-3.726610188843157,-0.006601948833400528,-1.061254502328038,-0.0710244965550436,71.50429684048358,4.449589080416305
